county_state,fips,county,state,population
"Autauga, Alabama",1001,Autauga,Alabama,55869
"Baldwin, Alabama",1003,Baldwin,Alabama,223234
"Barbour, Alabama",1005,Barbour,Alabama,24686
"Bibb, Alabama",1007,Bibb,Alabama,22394
"Blount, Alabama",1009,Blount,Alabama,57826
"Bullock, Alabama",1011,Bullock,Alabama,10101
"Butler, Alabama",1013,Butler,Alabama,19448
"Calhoun, Alabama",1015,Calhoun,Alabama,113605
"Chambers, Alabama",1017,Chambers,Alabama,33254
"Cherokee, Alabama",1019,Cherokee,Alabama,26196
"Chilton, Alabama",1021,Chilton,Alabama,44428
"Choctaw, Alabama",1023,Choctaw,Alabama,12589
"Clarke, Alabama",1025,Clarke,Alabama,23622
"Clay, Alabama",1027,Clay,Alabama,13235
"Cleburne, Alabama",1029,Cleburne,Alabama,14910
"Coffee, Alabama",1031,Coffee,Alabama,52342
"Colbert, Alabama",1033,Colbert,Alabama,55241
"Conecuh, Alabama",1035,Conecuh,Alabama,12067
"Coosa, Alabama",1037,Coosa,Alabama,10663
"Covington, Alabama",1039,Covington,Alabama,37049
"Crenshaw, Alabama",1041,Crenshaw,Alabama,13772
"Cullman, Alabama",1043,Cullman,Alabama,83768
"Dale, Alabama",1045,Dale,Alabama,49172
"Dallas, Alabama",1047,Dallas,Alabama,37196
"DeKalb, Alabama",1049,DeKalb,Alabama,71513
"Elmore, Alabama",1051,Elmore,Alabama,81209
"Escambia, Alabama",1053,Escambia,Alabama,36633
"Etowah, Alabama",1055,Etowah,Alabama,102268
"Fayette, Alabama",1057,Fayette,Alabama,16302
"Franklin, Alabama",1059,Franklin,Alabama,31362
"Geneva, Alabama",1061,Geneva,Alabama,26271
"Greene, Alabama",1063,Greene,Alabama,8111
"Hale, Alabama",1065,Hale,Alabama,14651
"Henry, Alabama",1067,Henry,Alabama,17205
"Houston, Alabama",1069,Houston,Alabama,105882
"Jackson, Alabama",1071,Jackson,Alabama,51626
"Jefferson, Alabama",1073,Jefferson,Alabama,658573
"Lamar, Alabama",1075,Lamar,Alabama,13805
"Lauderdale, Alabama",1077,Lauderdale,Alabama,92729
"Lawrence, Alabama",1079,Lawrence,Alabama,32924
