model,abbrev,logloss,auc,False_Positive_Rate,True_Positive_Rate
Random Trees and Logistic Regression,RT + LR,0.1156323141390516,0.8492366863905325,0.0,0.0
Random Trees and Logistic Regression,RT + LR,0.1156323141390516,0.8492366863905325,0.0,0.0
Random Trees and Logistic Regression,RT + LR,0.1156323141390516,0.8492366863905325,0.0,0.0
Random Trees and Logistic Regression,RT + LR,0.1156323141390516,0.8492366863905325,0.002,0.026
Random Trees and Logistic Regression,RT + LR,0.1156323141390516,0.8492366863905325,0.004,0.054
Random Trees and Logistic Regression,RT + LR,0.1156323141390516,0.8492366863905325,0.004,0.056
Random Trees and Logistic Regression,RT + LR,0.1156323141390516,0.8492366863905325,0.005,0.062
Random Trees and Logistic Regression,RT + LR,0.1156323141390516,0.8492366863905325,0.01,0.112
Random Trees and Logistic Regression,RT + LR,0.1156323141390516,0.8492366863905325,0.018,0.162
Random Trees and Logistic Regression,RT + LR,0.1156323141390516,0.8492366863905325,0.019,0.164
Random Trees and Logistic Regression,RT + LR,0.1156323141390516,0.8492366863905325,0.021,0.164
Random Trees and Logistic Regression,RT + LR,0.1156323141390516,0.8492366863905325,0.024,0.174
Random Trees and Logistic Regression,RT + LR,0.1156323141390516,0.8492366863905325,0.025,0.178
Random Trees and Logistic Regression,RT + LR,0.1156323141390516,0.8492366863905325,0.033,0.258
Random Trees and Logistic Regression,RT + LR,0.1156323141390516,0.8492366863905325,0.035,0.268
Random Trees and Logistic Regression,RT + LR,0.1156323141390516,0.8492366863905325,0.036,0.27
Random Trees and Logistic Regression,RT + LR,0.1156323141390516,0.8492366863905325,0.039,0.284
Random Trees and Logistic Regression,RT + LR,0.1156323141390516,0.8492366863905325,0.04,0.286
Random Trees and Logistic Regression,RT + LR,0.1156323141390516,0.8492366863905325,0.046,0.306
Random Trees and Logistic Regression,RT + LR,0.1156323141390516,0.8492366863905325,0.056,0.344
Random Trees and Logistic Regression,RT + LR,0.1156323141390516,0.8492366863905325,0.058,0.348
Random Trees and Logistic Regression,RT + LR,0.1156323141390516,0.8492366863905325,0.061,0.358
Random Trees and Logistic Regression,RT + LR,0.1156323141390516,0.8492366863905325,0.065,0.376
Random Trees and Logistic Regression,RT + LR,0.1156323141390516,0.8492366863905325,0.069,0.392
Random Trees and Logistic Regression,RT + LR,0.1156323141390516,0.8492366863905325,0.07,0.396
Random Trees and Logistic Regression,RT + LR,0.1156323141390516,0.8492366863905325,0.07,0.398
Random Trees and Logistic Regression,RT + LR,0.1156323141390516,0.8492366863905325,0.07,0.398
Random Trees and Logistic Regression,RT + LR,0.1156323141390516,0.8492366863905325,0.07,0.398
Random Trees and Logistic Regression,RT + LR,0.1156323141390516,0.8492366863905325,0.071,0.398
Random Trees and Logistic Regression,RT + LR,0.1156323141390516,0.8492366863905325,0.071,0.402
Random Trees and Logistic Regression,RT + LR,0.1156323141390516,0.8492366863905325,0.088,0.468
Random Trees and Logistic Regression,RT + LR,0.1156323141390516,0.8492366863905325,0.088,0.468
Random Trees and Logistic Regression,RT + LR,0.1156323141390516,0.8492366863905325,0.088,0.47
Random Trees and Logistic Regression,RT + LR,0.1156323141390516,0.8492366863905325,0.091,0.476
Random Trees and Logistic Regression,RT + LR,0.1156323141390516,0.8492366863905325,0.094,0.486
Random Trees and Logistic Regression,RT + LR,0.1156323141390516,0.8492366863905325,0.099,0.504
Random Trees and Logistic Regression,RT + LR,0.1156323141390516,0.8492366863905325,0.101,0.514
Random Trees and Logistic Regression,RT + LR,0.1156323141390516,0.8492366863905325,0.102,0.526
Random Trees and Logistic Regression,RT + LR,0.1156323141390516,0.8492366863905325,0.106,0.538
Random Trees and Logistic Regression,RT + LR,0.1156323141390516,0.8492366863905325,0.109,0.544
Random Trees and Logistic Regression,RT + LR,0.1156323141390516,0.8492366863905325,0.11,0.546
Random Trees and Logistic Regression,RT + LR,0.1156323141390516,0.8492366863905325,0.111,0.546
Random Trees and Logistic Regression,RT + LR,0.1156323141390516,0.8492366863905325,0.132,0.622
Random Trees and Logistic Regression,RT + LR,0.1156323141390516,0.8492366863905325,0.132,0.622
Random Trees and Logistic Regression,RT + LR,0.1156323141390516,0.8492366863905325,0.141,0.68
Random Trees and Logistic Regression,RT + LR,0.1156323141390516,0.8492366863905325,0.141,0.68
Random Trees and Logistic Regression,RT + LR,0.1156323141390516,0.8492366863905325,0.143,0.686
Random Trees and Logistic Regression,RT + LR,0.1156323141390516,0.8492366863905325,0.146,0.698
Random Trees and Logistic Regression,RT + LR,0.1156323141390516,0.8492366863905325,0.147,0.698
Random Trees and Logistic Regression,RT + LR,0.1156323141390516,0.8492366863905325,0.149,0.702
Random Trees and Logistic Regression,RT + LR,0.1156323141390516,0.8492366863905325,0.151,0.708
Random Trees and Logistic Regression,RT + LR,0.1156323141390516,0.8492366863905325,0.152,0.708
